META ID,PROPERTY NAME
BAR-100,Vertical?
BAR-101,Ramp Style (not used)
BAR-102,Min value
BAR-103,Max value
BAR-104,Starting value
BAR-105,Style
BAR-106,Tick Divisions
BAR-107,Tick Size
BAR-108,Tick Color
BAR-109,Indicator Length
BAR-110,Indicator Tip Size
BAR-111,Indicator Fill?
BAR-112,Add Scrollbar?
BAR-113,Embedded Scrollbar ENUM
BAR-114,Embedded Scrollbar ElemRef
BAR-115,Embedded Max value
BAR-116,Embedded Frame Color
BAR-117,Embedded Fill Color
BAR-118,Direction Clockwise?
BOX-100,Draw Function
BOX-101,Tick Function
CBOX-100,Checked?
CBOX-101,Group ID (not used - if enabled in future use RBTN-101)
CIRCLE-100,Radius
COL-300,Use Default Colors? (old not used)
COL-301,Text Color
COL-302,Frame Color
COL-303,Fill Color
COL-304,Selected Color
COL-305,Check Mark Color
COL-306,Tick Color
COL_307,Trim Color
COL_308,Gauge Color
COL-309,Graph Color
COL-310,Background Color
COL-311,Grid Major Color
COL-312,Grid Minor Color
COL-313,Grid Background Color
COL-314,Transparency Color
COL-315,Progress Color
COL-316,Remaining Color
COL-317,Thumb Color
COL-318,Thumb Frame Color
COL-319,On State
COL-320,Off State
COM-000,Page Enum
COM-001,Key
COM-002,ENUM
COM-003,X
COM-004,Y
COM-005,Width
COM-006,HEIGHT
COM-010,Frame Enable
COM-011,Fill Enabled
COM-012,Button Rounded
COM-013,Button Size
COM-014,Button GapX
COM-015,Button GapY
COM-016,Touch En
COM-017,Callback En
COM-018,Key Count (Number in the Key after the $)
COM-019,ELEMENT REF
COM-020,Use Flash API
GEN-100,Theme
GEN-101,Target Platform
GEN-102,TFT Screen Width
GEN-103,TFT Screen Height
GEN-104,TFT Screen DPI
GEN-105,Project Directory
GEN-106,Target’s Image Directory
GEN-107,Screen Margins
GEN-108,Horizontal Spacing
GEN-109,Vertical Spacing
GEN-110,MAX_STR
GEN-111,Recent Colors
GEN-112,Rotation
GEN-113,Source Image Directory
GEN-116,Use Background Image?
GEN-117,Background Image
GEN-118,Background Image File Name
GEN-119,Insert Adafruit_GFX.h?
GEN-120,Backward Compatibility
GEN-121,Recent File List
GEN-130,Width  of App Window
GEN-131,Height of App Window
GEN-132,Width  of TFT Simulation Window
GEN-133,Height of TFT Simulation Window
GEN-134,Width  of Property View Window
GEN-135,Height of Property View Window
GEN-136,Remove existing Code
GRID-100,Grid
GRID-101,Grid Snap To
GRID-102,Grid Minor Width
GRID-103,Grid Minor Height
GRID-104,Grid Major Width
GRID_105,Grid Major Height
GRID-106,Grid State
GRPH-100,Maximum Points
GRPH-102,Graph Style
LINE-100,Line Length
LINE-101,is Vertical?
LIST-100,Text Margin Width
LIST-101,Text Margin Height
LIST-102,Default Selected Item
LIST-103,Item List
LIST-104,Storage Size
LIST-105,Set Text Margins? - NOT Used
LIST-106,Item Gap
LIST-107,Item Gap Color
LIST-108,Include List
IBTN-100,Image
IBTN-101,Image When Selected
IBTN-102,Image #defines
IBTN-103,Select Image #defines
IBTN-104,Image Format
IBTN-105,Show Popup Page (not used)
IBTN-106,Jump To Page ENUM (not used) replace with TBNT-101
IBTN-107,Transparency
IBTN-108,Image Extern
IBTN-109,Select Image Extern
IBTN-110,Image Memory Type
IBTN-111,Select Image Memory Type
IMG-100,Image
IMG-101,Image #defines
IMG-102,Image Format
IMG-107,Image Transparency
IMG-108,Image Extern
IMG-109,Image Memory Type
KEY-102,Keypad ENUM
KEY-019,Keypad EREF
PAD-100,Floating Point
PAD-101,Minus Sign
RBTN-100,Checked?
RBTN-101,Group ID
RBTN-102,Style
RING-100,Starting Angle
RING-101,Angular Range
RING-102,Direction Clockwise?
RING-103,Min
RING-104,Max
RING-105,Starting Value
RING-106,Number of Segments
RING-107,Line Thickness
RING-108,Use Gradient Color
RING-109,Active Flat Color
RING-110,Active Gradient Color Start
RING-111,Active Gradient Color End
RING-112,Inactive Color
SLD-100,Min
SLD-101,Max
SLD-102,Value
SLD-103,Thumb Sz
SLD-104,Vertical?
SLD-105,Tick Divisions
SLD-106,Tick Size
SLD-107,Add Trim?
SLD-108,Progress Width
SLD-109,Remaining Width
SLD-110,Add Frame to Thumb?
SPIN-100,Increment
SPIN-101,Button Size
TXT-200,Font
TXT-201,Text
TXT-202,Label
TXT-203,UTF8
TXT-204,Fill Enabled
TXT-205,External Storage Size
TXT-207,Text Alignment (old do not use)
TXT-208,Wrap Text
TXT-209,Text Rows
TXT-210,Text Columns
TXT-211,Font Enum
TXT-212,Text Margin
TXT-213,Text Alignment
TBNT-100,Jump Page Function (Old Not Used)
TBNT-101,Jump to Page ENUM
TBNT-102,Show Popup Page Function (Old Not used)
TBNT-103,Hide Popup Page Function
TBTN-104,Popup to Page Enum
